Original,Concepto
atomic_force_microscopy,Técnicas Analíticas
protein_blood_level,Bioquímica
atlantic_ocean,Geografía
microstructure,Química y Ciencia de Materiales
perception,Psicología y Comportamiento
biotransformation,Bioquímica
thermoregulation,Anatomía y Biología Celular
soliton,Física e Ingeniería
feces,Anatomía y Biología Celular
poverty,Salud Pública
protein_protein_interaction,Bioquímica
world_health_organization,Salud Pública
phosphorylation,Bioquímica
breast_neoplasm,Patología y Enfermedades
hydrodesulfurization,Química y Ciencia de Materiales
citric_acid,Bioquímica
lignin,Botánica y Agricultura
earthquake_engineering,Física e Ingeniería
protein_kinase_b,Bioquímica
antifungal_agent,Farmacología
body_temperature,Anatomía y Biología Celular
taste,Anatomía y Biología Celular
brain_cortex,Anatomía y Biología Celular
nanotube,Química y Ciencia de Materiales
hydrogen_sulfide,Química y Ciencia de Materiales
dna_methylation,Genética
platinum,Química y Ciencia de Materiales
plant_seed,Botánica y Agricultura
pharmacology,Farmacología
polynomial,Informática y Matemáticas
seed,Botánica y Agricultura
sulfide,Química y Ciencia de Materiales
hypoxia,Patología y Enfermedades
nanocomposites,Química y Ciencia de Materiales
erratum,Miscelánea Científica
ground_state,Física e Ingeniería
structure-activity_relationship,Farmacología
chemical_modification,Química y Ciencia de Materiales
lipopolysaccharide,Bioquímica
taxonomy,Biología (General)
hypoglycemic_agent,Farmacología
adenosine_triphosphate,Bioquímica
sodium_compound,Química y Ciencia de Materiales
peroxide,Química y Ciencia de Materiales
sphere,Física e Ingeniería
schizophrenia,Patología y Enfermedades
kinetic_theory,Física e Ingeniería
drug_design,Farmacología
protein_p53,Genética
plant,Botánica y Agricultura
solution,Química y Ciencia de Materiales
degree_of_freedom_mechanics,Física e Ingeniería
food,Salud Pública
chemical_industry,Química y Ciencia de Materiales
interleukin_8,Inmunología
actinobacteria,Microbiología
biology,Biología (General)
support_vector_machine,Informática y Matemáticas
systemic_lupus_erythematosus,Patología y Enfermedades
metabolic_disorder,Patología y Enfermedades
sludge,Ciencias Ambientales
sodium,Química y Ciencia de Materiales
viscoelasticity,Física e Ingeniería
sleep,Psicología y Comportamiento
uncertainty,Informática y Matemáticas
zinc_sulfide,Química y Ciencia de Materiales
river,Ciencias Ambientales
electrochemical_corrosion,Física e Ingeniería
cost,Miscelánea Científica
polycyclic_aromatic_hydrocarbon,Ciencias Ambientales
epigenetics,Genética
alcohol_consumption,Salud Pública
photocatalysts,Química y Ciencia de Materiales
microalga,Microbiología
algae,Microbiología
probiotic_agent,Microbiología
cobalt,Química y Ciencia de Materiales
ethylene_glycol,Química y Ciencia de Materiales
leukocyte,Inmunología
monocyte,Inmunología
violence,Psicología y Comportamiento
enzyme_inhibitor,Farmacología
conformation,Química y Ciencia de Materiales
toxicity_testing,Farmacología
environmental_protection,Ciencias Ambientales
mice_inbred_balb_c,Modelos Animales y Zoología
fungus_growth,Microbiología
epididymis,Anatomía y Biología Celular
waist_circumference,Demografía
mental_health,Psicología y Comportamiento
trend,Informática y Matemáticas
biomass_production,Ciencias Ambientales
membrane_protein,Bioquímica
reynolds_number,Física e Ingeniería
mcf-7_cell_line,Patología y Enfermedades
community_structure,Ciencias Ambientales
metronidazole,Farmacología
process_control,Informática y Matemáticas
deep_eutectic_solvent,Química y Ciencia de Materiales
high_density_lipoprotein_cholesterol,Bioquímica
behavior_animal,Modelos Animales y Zoología
genetic_marker,Genética
eigenvalue_and_eigenfunctions,Informática y Matemáticas
triacylglycerol_blood_level,Bioquímica
animal_husbandry,Botánica y Agricultura
calcination,Química y Ciencia de Materiales
microbial_diversity,Microbiología
pain_measurement,Metodología de Investigación
pathogenesis,Patología y Enfermedades
antidiabetic_activity,Farmacología
mouth_mucosa,Anatomía y Biología Celular
acetone,Química y Ciencia de Materiales
amine,Química y Ciencia de Materiales
curriculum,Miscelánea Científica
drug_release,Farmacología
eutectic,Química y Ciencia de Materiales
brain_ischemia,Patología y Enfermedades
peroxidase,Bioquímica
paracetamol,Farmacología
multi_objective_evolutionary_algorithm,Informática y Matemáticas
cell_aging,Anatomía y Biología Celular
enzyme_activation,Bioquímica
deep_learning,Informática y Matemáticas
symbiosis,Ciencias Ambientales
area_under_the_curve,Informática y Matemáticas
coral_reef,Ciencias Ambientales
immunoreactivity,Inmunología
phosphate,Química y Ciencia de Materiales
sequence_analysis,Genética
rna_messenger,Genética
volatile_organic_compound,Ciencias Ambientales
transcription_factor,Genética
carbon_nuclear_magnetic_resonance,Técnicas Analíticas
creatinine,Bioquímica
metal_ion,Química y Ciencia de Materiales
measurement_accuracy,Informática y Matemáticas
biophysics,Física e Ingeniería
mrna_expression_level,Genética
multicenter_study,Metodología de Investigación
steel_corrosion,Física e Ingeniería
electrochemistry,Química y Ciencia de Materiales
seizure,Patología y Enfermedades
tumor_necrosis_factor-alpha,Inmunología
chemical_activation,Química y Ciencia de Materiales
genetic_predisposition,Genética
genetic_predisposition_to_disease,Genética
zeta_potential,Química y Ciencia de Materiales
error,Informática y Matemáticas
metalorganic_framework_mofs,Química y Ciencia de Materiales
metal_organic_framework,Química y Ciencia de Materiales
atmospheric_pressure,Física e Ingeniería
device,Miscelánea Científica
dissolution,Química y Ciencia de Materiales
recovery,Miscelánea Científica
membrane,Anatomía y Biología Celular
dye,Química y Ciencia de Materiales
nitrite,Química y Ciencia de Materiales
lake,Geografía
performance_assessment,Miscelánea Científica
cell_adhesion,Anatomía y Biología Celular
alanine_aminotransferase,Bioquímica
aspartate_aminotransferase,Bioquímica
reproducibility_of_result,Metodología de Investigación
protein_synthesis,Bioquímica
oxygen_consumption,Bioquímica
electron_transport,Física e Ingeniería
human_computer_interaction,Informática y Matemáticas
organic_compound,Química y Ciencia de Materiales
social_networking_online,Informática y Matemáticas
catalytic_oxidation,Química y Ciencia de Materiales
cognitive_radio,Informática y Matemáticas
enthalpy,Física e Ingeniería
saccharomyces_cerevisiae,Microbiología
diet_supplementation,Salud Pública
